sport,date,surface,surface_clay,surface_grass,surface_hard,rank_gap,rank_ratio,fav_rank,dog_rank,odds_decimal,odds_american,implied_probability,true_probability,mispricing_gap,favorite_tier,is_heavy_favorite,is_moderate_favorite,is_slight_favorite,is_underdog,is_tennis,is_mlb,is_nba,is_soccer,is_ufc,is_total_market,odds_american_abs,outcome
Tennis ATP,20200106,hard,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.5385,-185,0.6825,0.65,-0.0325,1,0,0,1,0,1,0,0,0,0,0,185,0
Tennis ATP,20200106,hard,0.0,0.0,1.0,24.0,3.4,10.0,34.0,1.3889,-257,0.756,0.72,-0.036,2,0,1,0,0,1,0,0,0,0,0,257,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,3.0,2.5,2.0,5.0,1.5385,-185,0.6825,0.65,-0.0325,1,0,0,1,0,1,0,0,0,0,0,185,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,17.0,2.0,17.0,34.0,1.5385,-185,0.6825,0.65,-0.0325,1,0,0,1,0,1,0,0,0,0,0,185,0
Tennis ATP,20200106,hard,0.0,0.0,1.0,17.0,18.0,1.0,18.0,1.1765,-566,0.8925,0.85,-0.0425,3,1,0,0,0,1,0,0,0,0,0,566,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,19.0,2.9,10.0,29.0,1.5385,-185,0.6825,0.65,-0.0325,1,0,0,1,0,1,0,0,0,0,0,185,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,12.0,7.0,2.0,14.0,1.2821,-354,0.819,0.78,-0.039,3,1,0,0,0,1,0,0,0,0,0,354,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,13.0,1.62,21.0,34.0,1.7544,-132,0.5985,0.57,-0.0285,1,0,0,1,0,1,0,0,0,0,0,132,0
Tennis ATP,20200106,hard,0.0,0.0,1.0,8.0,2.6,5.0,13.0,1.5385,-185,0.6825,0.65,-0.0325,1,0,0,1,0,1,0,0,0,0,0,185,1
Tennis ATP,20200106,hard,0.0,0.0,1.0,8.0,1.47,17.0,25.0,1.7544,-132,0.5985,0.57,-0.0285,1,0,0,1,0,1,0,0,0,0,0,132,1
