tourney_date,tourney_name,surface,round,winner_name,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,w_ace,l_ace,w_svpt,l_svpt,winner_age,loser_age,minutes,year,sport
20200106,Atp Cup,Hard,F,Novak Djokovic,Rafael Nadal,2.0,1.0,9055.0,9985.0,12.0,5.0,64.0,70.0,32.6,33.5,115.0,2020,Tennis ATP
20200106,Atp Cup,Hard,F,Roberto Bautista Agut,Dusan Lajovic,10.0,34.0,2335.0,1251.0,2.0,2.0,59.0,57.0,31.7,29.5,97.0,2020,Tennis ATP
20200106,Atp Cup,Hard,SF,Novak Djokovic,Daniil Medvedev,2.0,5.0,9055.0,5705.0,4.0,6.0,111.0,108.0,32.6,23.9,167.0,2020,Tennis ATP
20200106,Atp Cup,Hard,SF,Dusan Lajovic,Karen Khachanov,34.0,17.0,1251.0,1840.0,1.0,9.0,67.0,79.0,29.5,23.6,108.0,2020,Tennis ATP
20200106,Atp Cup,Hard,SF,Rafael Nadal,Alex De Minaur,1.0,18.0,9985.0,1775.0,5.0,6.0,84.0,75.0,33.5,20.8,133.0,2020,Tennis ATP
20200106,Atp Cup,Hard,SF,Roberto Bautista Agut,Nick Kyrgios,10.0,29.0,2335.0,1375.0,4.0,13.0,57.0,55.0,31.7,24.6,81.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Novak Djokovic,Denis Shapovalov,2.0,14.0,9055.0,2050.0,4.0,15.0,106.0,85.0,32.6,20.7,160.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Dusan Lajovic,Felix Auger Aliassime,34.0,21.0,1251.0,1636.0,3.0,10.0,62.0,68.0,29.5,19.4,99.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Daniil Medvedev,Diego Schwartzman,5.0,13.0,5705.0,2125.0,14.0,1.0,103.0,82.0,23.9,27.3,142.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Karen Khachanov,Guido Pella,17.0,25.0,1840.0,1530.0,7.0,3.0,63.0,65.0,23.6,29.6,98.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Daniel Evans,Alex De Minaur,42.0,18.0,1124.0,1775.0,4.0,6.0,133.0,118.0,29.6,20.8,203.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Nick Kyrgios,Cameron Norrie,29.0,52.0,1375.0,975.0,11.0,1.0,55.0,47.0,24.6,24.3,72.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,David Goffin,Rafael Nadal,11.0,1.0,2335.0,9985.0,6.0,4.0,82.0,82.0,29.0,33.5,143.0,2020,Tennis ATP
20200106,Atp Cup,Hard,QF,Roberto Bautista Agut,Kimmer Coppejans,10.0,158.0,2335.0,328.0,2.0,3.0,57.0,55.0,31.7,25.9,90.0,2020,Tennis ATP
20200106,Atp Cup,Hard,RR,Novak Djokovic,Gael Monfils,2.0,9.0,9055.0,2530.0,0.0,5.0,70.0,55.0,32.6,33.3,91.0,2020,Tennis ATP
20200106,Atp Cup,Hard,RR,Benoit Paire,Dusan Lajovic,24.0,34.0,1538.0,1251.0,10.0,4.0,87.0,100.0,30.6,29.5,125.0,2020,Tennis ATP
20200106,Atp Cup,Hard,RR,Novak Djokovic,Kevin Anderson,2.0,147.0,9055.0,360.0,10.0,17.0,74.0,105.0,32.6,33.6,139.0,2020,Tennis ATP
